variety,description,description_split
Siria,12,12
Sirica,2,2
Sousão,8,8
Souzao,3,3
Sparkling Blend,2153,2153
Spätburgunder,72,72
St. Laurent,92,92
Susumaniello,6,6
Sylvaner,53,53
Symphony,5,5
Syrah,4142,4142
Syrah-Cabernet,15,15
Syrah-Cabernet Franc,5,5
Syrah-Cabernet Sauvignon,37,37
Syrah-Carignan,4,4
Syrah-Grenache,58,58
Syrah-Merlot,7,7
Syrah-Mourvèdre,20,20
Syrah-Petit Verdot,3,3
Syrah-Petite Sirah,16,16
Syrah-Tempranillo,7,7
Syrah-Viognier,18,18
Sämling,5,5
Sémillon,135,135
Tamjanika,2,2
Tannat,178,178
Tannat-Cabernet,31,31
Tannat-Cabernet Franc,16,16
Tannat-Merlot,11,11
Tannat-Syrah,6,6
Tempranillo,1810,1810
Tempranillo Blanco,9,9
Tempranillo Blend,588,588
Tempranillo-Cabernet Sauvignon,53,53
Tempranillo-Garnacha,32,32
Tempranillo-Merlot,7,7
Tempranillo-Shiraz,8,8
Tempranillo-Syrah,2,2
Teran,7,7
Teroldego,32,32
Timorasso,5,5
Tinta Barroca,5,5
Tinta Cao,2,2
Tinta Fina,11,11
Tinta Francisca,3,3
Tinta Miúda,3,3
Tinta Roriz,11,11
Tinta de Toro,166,166
Tinta del Pais,2,2
Tinta del Toro,3,3
Tinto Fino,100,100
Tinto del Pais,18,18
Tocai,10,10
Tocai Friulano,22,22
Tokaji,24,24
Tokay,7,7
Torbato,2,2
Torrontés,250,250
Touriga,3,3
Touriga Franca,7,7
Touriga Nacional,200,200
Touriga Nacional Blend,19,19
Touriga Nacional-Cabernet Sauvignon,28,28
Traminer,39,39
Traminette,10,10
Trebbiano,51,51
Trebbiano Spoletino,7,7
Trebbiano di Lugana,3,3
Treixadura,3,3
Trepat,10,10
Trincadeira,26,26
Trollinger,2,2
Trousseau,6,6
Trousseau Gris,3,3
Turbiana,157,157
Tămâioasă Românească,2,2
Ugni Blanc,3,3
Ugni Blanc-Colombard,9,9
Uva di Troia,13,13
Uvalino,2,2
Valdiguié,6,6
Veltliner,4,4
Verdeca,5,5
Verdejo,294,294
Verdejo-Sauvignon Blanc,5,5
Verdejo-Viura,22,22
Verdelho,65,65
Verdicchio,164,164
Verduzzo,6,6
Verduzzo Friulano ,3,3
Vermentino,232,232
Vernaccia,138,138
Vespolina,2,2
Vidal,11,11
Vidal Blanc,55,55
Vignoles,11,11
Vilana,4,4
Vinhão,4,4
Viognier,996,996
Viognier-Chardonnay,12,12
Viognier-Gewürztraminer,2,2
Viognier-Grenache Blanc,3,3
Viognier-Marsanne,3,3
Viognier-Roussanne,7,7
Viosinho,5,5
Vitovska,3,3
Viura,107,107
Viura-Chardonnay,13,13
Viura-Verdejo,2,2
Vranec,4,4
Weissburgunder,47,47
Welschriesling,25,25
White Blend,2360,2360
White Port,2,2
White Riesling,13,13
Xarel-lo,21,21
Xinomavro,33,33
Xynisteri,2,2
Yapincak,2,2
Zibibbo,31,31
Zierfandler,16,16
Zierfandler-Rotgipfler,5,5
Zinfandel,2714,2714
Zlahtina,2,2
Zweigelt,209,209
Çalkarası,2,2
